Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
CAP_15p_5%_50V_0603_NP0	CAP_NP	Symbols\CAP_NP.Schlib	15p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	C0G/NP0	5%	15p	50V			Kemet	C0603C150J5GACTU	Digi-Key	399-1051-1-ND	TDK	CGA3E2C0G1H150J080AA	Digi-Key	445-5630-1-ND	Flex_C_0603(1608)	
CAP_22p_5%_25V_0603_NP0	CAP_NP	Symbols\CAP_NP.Schlib	22p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	C0G/NP0	10%	22p	25V			Kemet	C0603C220K3GACTU	Digi-Key	399-9030-2-ND					Flex_C_0603(1608)	
CAP_33p_5%_50V_0603_NP0	CAP_NP	Symbols\CAP_NP.Schlib	33p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	C0G/NP0	5%	33p	50V			Kemet	C0603C330J5GACTU	Digi-Key	399-1113-1-ND					Flex_C_0603(1608)	
CAP_43p_5%_50V_0603_NPO	CAP_NP	Symbols\CAP_NP.Schlib	43p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic, Boardflex	C0G/NP0	5%	43p	50V			Kemet	C0603X470J5GACTU	Digi-Key	399-1055-1-ND					Flex_C_0603(1608)	
CAP_47p_5%_50V_0603_NPO	CAP_NP	Symbols\CAP_NP.Schlib	47p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic, Boardflex	C0G/NP0	5%	47p	50V			TDK	C1608C0G1H470J080AA	Digi-Key	445-1277-1-ND					Flex_C_0603(1608)	
CAP_100p_5%_50V_0603_C0G	CAP_NP	Symbols\CAP_NP.Schlib	100p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic, Boardflex	C0G/NP0	5%	100p	50V			Kemet	C0603X101J5GACTU	Digi-Key	445-1281-1-ND	Samsung	CL10C101JB81PNC	Digi-Key	1276-2162-1-ND	Flex_C_0603(1608)	
CAP_330p_5%_100V_0603_NP0	CAP_NP		330p	Standard	Standard	0603(1608)	2		SM/IPC/C_0603	CAP CER 330PF 100V C0G/NPO 0603	C0G/NP0	5%	330p	100V			Yageo	CC0603JRNPO0BN331	Digi-Key	311-1759-1-ND	TDK Corporation	CGA3E2C0G2A331J080AA	Digi-Key	445-5730-1-ND		
CAP_430p_5%_50V_0603_NP0	CAP_NP	Symbols\CAP_NP.Schlib	430p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	C0G/NP0	5%	430p	50V			Samsung	CL10C431JB8NNNC	Digi-Key	1276-2291-1-ND	Murata	GRM1885C1H431JA01D	Digi-Key	490-1442-1-ND		
CAP_470p_5%_50V_0603_NP0	CAP_NP	Symbols\CAP_NP.Schlib	470p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	C0G/NP0	5%	470p	50V			Kemet	C0603C471J5GACTU	Digi-Key	399-7922-1-ND	Murata	GRM1885C1H471JA01D	Digi-Key	490-1443-1-ND	Flex_C_0603(1608)	
CAP_910p_10%_50V_0603_NP0	CAP_NP	Symbols\CAP_NP.Schlib	910p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	Capacitor, Ceramic	C0G/NP0	10%	910p	50V			Kemet	C0603C911K5GACTU	Digi-Key	C0603C911K5GACTU-ND					Flex_C_0603(1608)	
CAP_1000p_5%_50V_0603_NP0	CAP_NP	Symbols\CAP_NP.Schlib	1000p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 1000PF 50V C0G/NP0 0603	C0G/NP0	5%	1000p	50V			Kemet	C0603C102J5GACTU	Digi-Key	399-3293-1-ND	Yageo	CC0603JRNPO9BN102	Digi-Key	311-1423-1-ND	Flex_C_0603(1608)	
CAP_1000p_10%_50V_0603_X7R	CAP_NP	Symbols\CAP_NP.Schlib	1000p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 1000PF 50V X7R 0603	X7R	10%	1000p	50V			Murata	GRM188R71H102KA01D	Digi-Key	490-1494-2-ND	Yageo	CC0603KRX7R9BB102	Digi-Key	311-1080-1-ND	Flex_C_0603(1608)	
CAP_1000p_5%_100V_0603_NP0	CAP_NP	Symbols\CAP_NP.Schlib	1000p	Standard	Standard	0603(1608)	2	Footprints\SM_IPC_C_0603.PcbLib	SM/IPC/C_0603	CAP CER 1000PF 100V C0G/NP0 0603	NP0	5%	1000p	100V			Murata	GRM1885C2A102JA01J	Digi-Key	490-8275-1-ND						
