Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
CON1	CON1			Standard (No BOM)	Standard (No BOM)		1																			
CON1_50milPad	CON1		50mil Pad	Standard	Standard		1		CON1_CastellationPad50mil	50mil diameter pad																
CON_Atmel_ISP_Lock	CON_Atmel_ISP		ISP Header	Standard	Standard		6		CON2x3_100mil_lock	6 Pin Header Locking							No Populate	No Populate	No Populate	No Populate						
CON1_70-9296-001-004-006	CON1			Standard	Standard		1		CON1_709296001004006	CONN SSL POKE-IN CONT 12-20AWG	Phosphor Bronze			300V	20A		AVX	7.09296E+14	Digi-Key	478-8665-1-ND						
CON1_70-9296-001-103-006	CON1			Standard	Standard		1		CON1_70-9296-001-103-006	CONN SSL POKE-IN CONT 18-24AWG	Phosphor Bronze						AVX	70-9296-001-103-006	Digi-Key	478-9347-1-ND						
CON1_Flex-finger-3mm	CON1			Standard (No BOM)	Standard (No BOM)		1		Flex-finger-3mm	Finger for soldering edge of FPCB to PCB																
CON1_Flex-pad-0.125	CON1			Standard (No BOM)	Standard (No BOM)		1		Flex-pad-0.125																Flex-pad-0.125-SMT	
CON1_Flex-pad-0.254	CON1			Standard (No BOM)	Standard (No BOM)		1		Flex-pad-0.254																Flex-pad-0.254-SMT	 
CON1_Flex-pad-0.300	CON1			Standard (No BOM)	Standard (No BOM)		1		Flex-pad-0.3-SMT																Flex-pad-0.3-SMT	 
CON1_Flex-Pad-1.28x2.08	CON1			Standard (No BOM)	Standard (No BOM)		1		FlexPad_1.28x2.08																	
CON1_SMD-pad-3x2mm	CON1			Standard (No BOM)	Standard (No BOM)		1		CON1_3x2mm_SMD_Pad																	
CON1_Flex-slot-1	CON1			Standard (No BOM)	Standard (No BOM)		1		Flex-slot-1 																	
CON1_Flex-strap-LiP-weld-6x4	CON1			Standard (No BOM)	Standard (No BOM)		1		Flex-strap-LiP-weld-6x4	Ni Tab for welding LiP cell tabs 6mmx4mm																
CON1_S125-Large	CON1			Standard (No BOM)	Standard (No BOM)		1		Flex-pad-0.125	"Gold-plated contact, Cylindrical, 0.125"" Dia"							Sincere Friends	S125-Large							Flex-pad-0.125-SMT	
CON1_4mm_Hole_PTH	CON1			Standard (No BOM)	Standard (No BOM)		1		CON1_4mm_Hole_PTH	Mounting hole																
CON1_45mil_Hole_20AWG	CON1			Standard (No BOM)	Standard (No BOM)		1		CON1_45mil_Hole_20AWG	Mounting hole																
CON1_48mil_Hole_PTH	CON1			Standard (No BOM)	Standard (No BOM)		1		CON1_48mil_Hole_PTH	Mounting hole																
CON1_Batt-Chg-Contact	CON1			Standard	Standard		1		Flex-pad-0.254	"Gold-plated Battery Charger Contact, Cylindrical, 0.1"" Dia"															Flex-pad-0.254-SMT	 
CON1_SMD_LAPJOINT_18AWG	CON1			Standard	Standard		1		CON1_SMD_LAPJOINT_18AWG	CONN Pad for 18Awg Wire																
CON1_SMD_LAPJOINT_16AWG	CON1			Standard	Standard		1		CON1_SMD_LAPJOINT_16AWG	CONN Pad for 16Awg Wire																
CON1_SMD_LAPJOINT_RED_14AWG	CON1			Standard	Standard		1		CON1_TH_PLUS_LAPJOINT_14AWG	"Wire RED 14AWG UL1007 300V PN890142 Cut to 18"""							Lumitec Lighting Part Number:	890060								
CON1_SMD_LAPJOINT_ORANGE_14AWG	CON1			Standard	Standard		1		CON1_TH_PLUS_LAPJOINT_14AWG	"Wire ORANGE 14AWG UL1007 300V PN890143 Cut to 18"""							Lumitec Lighting Part Number:	890062								
CON1_SMD_LAPJOINT_BLACK_14AWG	CON1			Standard	Standard		1		CON1_TH_PLUS_LAPJOINT_14AWG	"Wire BLACK 14AWG UL1007 300V PN890140 Cut to 18"""							Lumitec Lighting Part Number:	890061								
CON1_TH_PLUS_LAPJOINT_16AWG	CON1			Standard	Standard		1		CON1_TH_PLUS_LAPJOINT_16AWG	CONN Pad for 16Awg Wire																
CON10_100mil_PTH	CON10			Standard	Standard		10		CON10_100mil	"2 * 5 Header 0.1"""							Molex	879141016	Digi-Key	WM8618-ND						
CON10_50mil_TH_MALE	CON10			Standard	Standard		10		CON10_50mil_lock	10-pin connector.  50mil pitch							Sullins Connector Solutions	GRPB052VWVN-RC	Digi-Key	S9015E-05-ND						
CON10_50mil_TH_MALE_KEYD	CON10			Standard	Standard		10		CON10_50mil_TH_MALE_KEYD	CONN HEADER VERT 10POS 1.27MM 50mil							Samtec Inc.	FTSH-105-01-F-D-K	Digi-Key	SAM8909-ND						
CON16_2MM_TH_VERT_FEM	CON16			Standard	Standard		16		CON16_2MM_TH	CONN RCPT 2MM 16POS SGL VERT PCB							Samtec Inc.	MMS-116-01-T-SV	Digi-Key	SAM1234-16-ND						
