Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
D_Clamp_Dual_80V_SDA004	D_TwoPairDiodes_Series		SDA004-7	Standard	Standard	SOT-363	6		SM_SOT-363	TVS DIODE 80V SOT363				80V	500mA 20A(peak)		Diodes Inc.	SDA004-7	Digi-Key	SDA004DICT-ND						
D_Clamp_Quad_30V_QSBT40	D_Clamp_Quad_6p		QSBT40	Standard	Standard	SOT-363	6		SM_SOT-363	TVS DIODE 30V SOT363				30V	200mA		Diodes Inc.	QSBT40-7-F	Digi-Key	QSBT40-FDICT-ND						
D_GEN_150mA_75V_SOD323	Diode		4148	Standard	Standard	SOD323	2		SM_SOD-323-REVD	DIODE GEN PURP 75V 150MA SOD323				75V	0.15A		Micro Commercial Co	1N4148WX-TP	Digi-Key	1N4148WXTPMSCT-ND						
D_GEN_1A_200V_SMA	D_GEN_AC		ES1D	Standard	Standard	SMA	2		SM_DIODE_SMA	DIODE GEN PURP 200V 1A SMA				200V	1A		Diodes Inc.	ES1D	Digi-Key	ES1DFSCT-ND	Diodes Incorporated	ES1D-13-F	Digi-Key	ES1D-FDICT-ND		
D_GP_1A_200V_SMA	D_GEN_AC		ES1D	Standard	Standard	SMA	2		SM_DIODE_SMA	DIODE GEN PURP 200V 1A SMA				200V	1A		Diodes Inc.	ES1D	Digi-Key	ES1DFSCT-ND	Diodes Incorporated	ES1D-13-F	Digi-Key	ES1D-FDICT-ND		
D_GP_PAIR_Series_BAV99W	D_DualDiodes_Series		BAV99W	Standard	Standard	SOT-323	3		SM_SOT-323	Diode, Dual Array				100V	215mA		ON Semiconductor	BAV99WT1G	Digi-Key	BAV99WT1GOSCT-ND						
D_GP_Quad_CC_1SS309	D_Quad_CC_5p		1SS309	Standard	Standard	SC-74A (SOT-753)	6		SM_SC-74A_(SOT-753)	DIODE ARRAY GP 80V 100MA SMV				80V	100mA		Toshiba	1SS309(TE85L,F)	Digi-Key	1SS309(TE85LF)CT-ND						
D_GP_TWOPAIR_Series_BAV99DW	D_TwoPairDiodes_Series		BAV99DW-7-F	Standard	Standard	SOT-363	6		SM_SOT-363	DIODE ARRAY GP 75V 215MA SOT363			75V	75V	215mA		Diodes Inc.	BAV99DW-7-F	Digi-Key	BAV99DW-FDICT-ND						
D_LL_215mA_85V_SOD323	Diode		BAV116W	Standard	Standard	SOD-323	2		SM_SOD-323-REVD	DIODE Low Leakage 85V 215mA SOD323				85V	215mA		Diodes Inc	BAV116WSQ-7	Digi-Key	BAV116WSQ-7DICT-ND						
D_LL_215mA_85V_SOD123F	Diode		BAV116H	Standard	Standard	SOD-123F	2		SM_DIODE_SOD-123F	DIODE GEN PURP 85V 215MA SOD123F				85V	215mA		Diodes Inc.	BAV116HWFQ-7	Digi-Key	BAV116HWFQ-7DICT-ND	Nexperia USA Inc.	BAS116H,115	Digi-Key	1727-6168-1-ND		
D_GEN_2A_200V_SOD123F	Diode		NHP220SFT3G	Standard	Standard	SOD123F	2		SM_DIODE_SOD-123	DIODE GEN PURP 200V 2A SOD123FL				200V	2A		Diodes Inc.	NHP220SFT3G	Digi-Key	NHP220SFT3GOSCT-ND						
D_SBR_2A_40V_POWERDI123	D_SHKY		"SBR2A40P1-7"	Standard	Standard	POWERDI123	2		SM_DIODE_POWERDI123	DIODE SBR 40V 2A POWERDI123				40V	2A		Diodes Inc.	SBR2A40P1-7	Digi-Key	SBR2A40P1DICT-ND						
D_SBR_3A_40V_POWERDI123	D_SHKY		SBR3U40P1	Standard	Standard	POWERDI123	2		SM_DIODE_POWERDI123	DIODE SBR 40V 3A POWERDI123				40V	3A		Diodes Inc.	SBR3U40P1-7	Digi-Key	SBR3U40P1DICT-ND						
D_SBR_3A_60V_POWERDI123	D_SHKY		SBR3U60P1-7	Standard	Standard	POWERDI123	2		SM_DIODE_POWERDI123	DIODE SBR 60V 3A POWERDI123				60V	3A		Diodes Inc.	SBR3U60P1-7	Digi-Key	SBR3U60P1-7DICT-ND						
D_SBR_3A_60V_SMA	D_SHKY		SBRT3U60SAF	Standard	Standard	SMA-F	2		SM_DIODE_SMA-F	Diode Super Barrier 60V 3A				60V	3A		Diodes Inc.	SBRT3U60SAF-13	Digi-Key	SBRT3U60SAF-13DICT-ND						
D_SHKY_0.03A_5V_SOD323	D_SHKY		1SS315TPH3F	Standard	Standard	SOD-323	2		SM_SOD-323-REVD	"Diode, Schottky"				5V	30mA		Toshiba	1SS315TPH3F	Digi-Key	1SS315TPH3FCT-ND					Flex_D_SOD323	
D_SHKY_0.2A_40V_SOD523	D_SHKY		BAS40	Standard	Standard	SOD-523	2		SM_SOD-523	DIODE SCHOTTKY 40V 200MA SOD523				40V	0.2A		Vishay Semiconductor Diodes Division	BAS40-02V-V-G-08	Digi-Key	BAS40-02V-V-G-08GICT-ND						
D_SHKY_0.5A_20V_SOD123	D_SHKY		MBR0520LT1G	Standard	Standard	SOD-123	2		SM_DIODE_SOD-123	Diode, Schottky				20V	0.5A		ON Semiconductor	MBR0520LT1G	Digi-Key	MBR0520LT1GOSCT-ND	Micro Commercial	MBR0520L-TP	Digi-Key	MBR0520L-TPMSCT-ND	Flex_SOD-123_AC	
D_SHKY_0.5A_30V_SOD523	D_SHKY		BAS3005B02VH6327XTSA1	Standard	Standard	SOD-523	2		SM_SOD-523	DIODE SCHOTTKY 30V 500MA SC79-2				30V	0.5A		Infineon Technologies	BAS3005B02VH6327XTSA1	Digi-Key	BAS3005B02VH6327XTSA1CT-ND 						
D_SHKY_0.5A_40V_SOD323	D_SHKY		B0540WS-7	Standard	Standard	SOD-323	2		SM_SOD-323-REVD	DIODE SCHOTTKY 40V 500MA SOD323				40V	0.5A		Diodes Incorporated	B0540WS-7	Digi-Key	B0540WSDICT-ND						
D_SHKY_1A_30V_SOD323	D_SHKY		BAS3010A03WE6327HTSA1	Standard	Standard	SOD-323	2		SM_SOD-323-REVD	DIODE SCHOTTKY 30V 1A SOD323-2				30V	1A		Infineon Technologies	BAS3010A03WE6327HTSA1	Digi-Key	BAS3010A03WE6327HTSA1CT-ND 						
D_SHKY_1A_40V_SOD123	D_SHKY		PMEG4010	Standard	Standard	SOD-123	2		SM_DIODE_SOD-123	DIODE SCHOTTKY 40V 1A SOD123				40V	1A		Nexperia USA	PMEG4010EGWJ	Digi-Key	1727-7336-1-ND	Nexperia USA	PMEG4010CEGWJ	Digi-Key	1727-7338-1-ND		
D_SHKY_1A_40V_SOD123-high_temp	D_SHKY		PMEG4010ETR	Standard	Standard	SOD-123	2		SM_DIODE_SOD-123	DIODE SCHOTTKY 40V 1A SOD123W Temp=175dC				40V	1A		Nexperia USA	PMEG4010ETR,115	Digi-Key	1727-1341-1-ND						
D_SHKY_1A_60V_MICROSMP	D_SHKY		V1P6-M3/H	Standard	Standard	MICROSMP	2		SM_DIODE_MICROSMP	DIODE SCHOTTKY 60V 1A MICROSMP				60V	1A		Vishay Semiconductor Diodes Division	V1P6-M3/H	Digi-Key	V1P6-M3/HGICT-ND	Vishay Semiconductor Diodes Division	V1P6HM3/H	Digi-Key	V1P6HM3/HGICT-ND		
D_SHKY_1A_60V_SOD323F-low_leakage	D_SHKY		RB168VAM-60TR	Standard	Standard	SOD323F	2		SM_DIODE_MICROSMP	DIODE SCHOTTKY 60V 1A MICROSMP Low-Leakage				60V	1A		Rohm Semiconductor	RB168VAM-60TR	Digi-Key	846-RB168VAM-60CT-ND						
D_SHKY_1A_60V_SOD323	D_SHKY		PMEG6010CEJ	Standard	Standard	SOD-323	2		SM_SOD-323-REVD	DIODE SCHOTTKY 60V 1A SOD323F				60V	1A		Nexperia USA	"PMEG6010CEJ,115"	Digi-Key	1727-3882-6-ND						
D_SHKY_1A_400V_SMA	D_SHKY		MRA4004T3G	Standard	Standard	SMA	2		SM_DIODE_SMA	"Diode, Schottky"				400V	1A		ON Semiconductor	MRA4004T3G	Digi-Key	MRA4004T3GOSTR-ND						
D_SHKY_2A_40V_SOF123F	D_SHKY		DB2W40200	Standard	Standard	SOD-123F	2		SM_DIODE_SOD-123	DIODE SCHOTTKY 40V 2A MINI2				40V	2A		Panasonic Electronic Components	DB2W40200L	Digi-Key	DB2W40200LCT-ND						
D_SHKY_2A_40V_SMB	D_SHKY		SK24-TP	Standard	Standard	SMB	2		SM_DIODE_SMB	"Diode, Schottky"				40V	2A		Micro Commercial	SK24-TP	Digi-Key	SK24-TPCT-ND						
D_SHKY_2A_60V_SMA	D_SHKY		B260A-13-F	Standard	Standard	SMA	2		SM_DIODE_SMA	Diode, Schottky				60V	2A		Diodes Inc.	B260A-13-F	Digi-Key	B260A-FDITR-ND	Comchip Technology	CDBA260-HF	Digi-Key	641-1699-2-ND		
D_SHKY_2A_60V_SMAF	D_SHKY		B260AF-13	Standard	Standard	SMA-Flat	2		SM_DIODE_SMA-F	Diode, Schottky				60V	2A		Diodes Inc.	B260AF-13	Digi-Key	B260AF-13DICT-ND	ON Semiconductor	MBRAF260T3G	Digi-Key	MBRAF260T3GOSCT-ND		
