Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
FB_100@100_0402	FB		100 @ 100MHz	Standard	Standard	0402(1005)	2		SM/IPC/R_0402	Ferrite Bead 100 ohm @ 100MHz			100R@100MHz				Wurth Electronics	742792731	Digi-Key	732-2362-1-ND						
FB_100@100_1812	FB		100@100MHz	Standard	Standard	1812(4532)	2		SM_L_1812	FERRITE BEAD 100 OHM 1812 1LN 			100R@100MHz		8A		Laird-Signal Integrity Products	HI1812V101R-10	Digi-Key	240-2543-1-ND						
FB_100@100_0603	FB		100 @ 100MHz	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	Ferrite Bead 100 ohm @ 100MHz			100R@100MHz				TDK	MPZ1608S101A	Digi-Key	445-1564-1-ND	Gang Song	GSMB160808-U0100			Flex_L_0603(1608)	
FB_110@100_1806	FB		110@ 100MHz	Standard	Standard	1806(4516)	2		SM_L_1806	Ferrite Bead 110 ohm @ 100MHz			110R@100MHz				Taiyo Yuden	FBMJ4516HS111-T	Digi-Key	587-1775-1-ND						
FB_50@100_1206_BLM31	FB		50@ 100MHz	Standard	Standard	1206(3216)	2		SM_L_1206	FERRITE BEAD 50 OHM 1206 1LN			50R@100MHz		12A		Murata Electronics North America	BLM31SN500SN1L	Digi-Key	490-13269-1-ND						
FB_50@100_1206	FB		50@ 100MHz	Standard	Standard	1206(3216)	2		SM/IPC/R_1206	Ferrite Bead 50 ohm @ 100MHz			50R@100MHz				Laird-Signal Integrity Products	HI1206T500R-10	Digi-Key	240-2412-2-ND	Taiyo Yuden	FBMJ3216HS480NT	Digi-Key	587-1771-1-ND	Flex_L_1206(3216)	
FB_470@100_1206_4A	FB		470R @ 100MHz	Standard	Standard	1206 (3216)	2		SM_L_1206	FERRITE BEAD 470 OHM 1206 1LN 20 mohm			470R@100MHz		4A		Murata Electronics North America	BLM31KN471SN1L	Digi-Key	490-16530-1-ND						
FB_600@100_0805	FB		600R @ 100MHz	Standard	Standard	0805(2012)	2		SM/IPC/R_0805	Ferrite Bead 600 ohm @ 100MHz 1.5A 100mOhm			600R@100MHz		1.5A		Laird	MI0805K601R-10	Digi-Key	240-2390-1-ND	TDK	MPZ2012S601AT000	Digi-Key	445-2206-1-ND		
FB_60@100_0603	FB		60 @ 100MHz	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	Ferrite Bead 60 ohm @ 100MHz			60R@100MHz				Bourns	MH1608-600Y	Digi-Key	MH1608-600YCT-ND	Gang Song	GSMB160808-U0060			Flex_L_0603(1608)	
FB_120@100_0603	FB		120 @ 100MHz	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	Ferrite Bead 120 ohm @ 100MHz			120R@100MHz				Murata	BLM18PG121SN1D	Digi-Key	490-1037-2-ND						
FB_18@100_0603	FB		18 @100MHz	Standard	Standard	0603(1608)	2		SM/IPC/R_0603	Ferrite Bead 18 ohm @ 100MHz 4mOhm 7.5A			18@100MHz		7.5A		Taiyo Yuden	FBMJ1608HM180NTW	Digi-Key	587-3841-1-ND	Taiyo Yuden	FBMJ1608HM180NTR	Digi-Key	587-3251-1-ND		
