Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
Q_NFET_2N7002DW	Q_NFET_DUAL_6PIN_ROTATESAFE		2N7002DW	Standard	Standard	SOT-363	6		SM_SOT-363	MOSFET 2N-CH 60V 0.115A SC70-6				60V	115mA	200mW	On Semiconductor	2N7002DW	Digi-Key	2N7002DWCT-ND						
Q_NFET_2N7002K	Q_NFET_3pin_ESD		2N7002K	Standard	Standard	SOT23-3	3		SM_SOT23_GATE_SOURCE_DRAIN	MOSFET N-CH 60V 0.38A SOT23-3				60V	380mA	370mW	Diodes Inc.	2N7002K-7	Digi-Key	2N7002K-7DICT-ND					Flex_SOT-23-3_GATE_SOURCE_DRAIN	
Q_NFET_7002_SOT23	Q_NFET_SMALL		2N7002	Standard	Standard	SOT23-3	3		SM_SOT23_GATE_SOURCE_DRAIN	"Mosfet, N Channel, Small Signal"							Fairchild	2N7002	Digi-Key	2N7002NCT-ND	Diodes Inc.	2N7002-7-F	Digi-Key	2N7002-FDICT-ND	Flex_SOT-23-3_GATE_SOURCE_DRAIN	
Q_NFET_AO3400A	Q_NFET_3pin		AO3400A	Standard	Standard	SOT23	3		SM_SOT23_GATE_SOURCE_DRAIN	MOSFET N-CHANNEL 30V 5.8A SOT23				30V	5.8A		Alpha & Omega	AO3400A	Digi-Key	785-1000-1-ND					Flex_SOT-23-3_GATE_SOURCE_DRAIN	
Q_NFET_AO3418	Q_NFET_3pin		AO3418	Standard	Standard	SOT23	3		SM_SOT23_GATE_SOURCE_DRAIN	N-Channel MOSFET				30V	3.8A		Alpha & Omega	AO3418	Digi-Key	785-1012-1-ND						
Q_NFET_AO3434A	Q_NFET_3pin_ESD		AO3434A	Standard	Standard	SOT23	3		SM_SOT23_GATE_SOURCE_DRAIN	N-Channel MOSFET ESD Protected				30V	4A		Alpha & Omega	AO3434A	Digi-Key	785-1460-1-ND	Diodes Inc.	DMN3053L-7	Digi-Key	DMN3053L-7DICT-ND		
Q_NFET_AO4484	Q_NFET_8PIN		AO4484	Standard	Standard	8-SOIC	8		SM_SOIC-8-4mm-M	MOSFET N-CH 40V 13.5A 8-SOIC 				40V	10A	1.7W	Alpha & Omega	AO4484	Digi-Key	785-1202-1-ND						
Q_NFET_AON7524	Q_NFET_8PIN		AON7524	Standard	Standard	8-DFN	8		8-DFN_3x3	MOSFET N-CH 30V 28A 8-DFN				30V	28A		Alpha & Omega	AON7524	Digi-Key	785-1634-1-ND					Flex_SON8_3.3x3.3_DQG8	
Q_NFET_AON7534	Q_NFET_8PIN		AON7534	Standard	Standard	8-DFN	8		8-DFN_3x3	MOSFET N-CH 30V 20A 8DFN				30V	20A		Alpha & Omega	AON7534	Digi-Key	785-1604-2-ND					Flex_SON8_3.3x3.3_DQG8	
Q_NFET_AUIRFS8408-7P	Q_NFET_D2PAK-7P		AUIRFS8408-7P	Standard	Standard	D2PAK-7P	7		SM_D2PAK-7_N	N-MOSFET 40V, 240A, 0.70mO, D2Pak-7Pin				40V	240A		Infineon	AUIRFS8408-7P	Mouser	942-AUIRFS8408-7P						
Q_NFET_BSC066N06NSATMA1	Q_NFET_8PIN		BSC066N06NSATMA1	Standard	Standard	8-PowerTDFN	8		SM_8-PowerTDFN	MOSFET N-CH 60V 64A 8TDSON				60V	64A	2.5W (Ta), 46W (Tc)	Infineon Technologies	BSC066N06NSATMA1	Digi-Key	BSC066N06NSATMA1CT-ND						
Q_NFET_BSC070N10NS5ATMA1	Q_NFET_8PIN		BSC070N10NS5ATMA1	Standard	Standard	8-PowerTDFN	8		SM_8-PowerTDFN	MOSFET N-CH 100V 80A TDSON-8				100V	80A	2.5W (Ta), 83W (Tc)	Infineon Technologies	BSC070N10NS5ATMA1	Digi-Key	BSC070N10NS5ATMA1CT-ND	Infineon Technologies	BSC098N10NS5ATMA1	Digi-Key	BSC098N10NS5ATMA1CT-ND		
