Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
U_74AHC1G08	74AHC1G08		74AHC1G08	Standard	Standard	SC70-5	5		SM_SC70-5	"I.C., Single AND Gate"							Texas Instruments	SN74AHC1G08QDCKRQ1	Digi-Key	296-32228-1-ND						
U_74AUP1T14	U_74AUP1G14		74AUP1T14	Standard	Standard	SC70-5	5		SM_SC70-5	IC INVERTER 1CH SC70-5							Texas Instruments	SN74AUP1T14DCKR	Digi-Key	296-27392-1-ND	Diodes Incorporated	74AUP1G14SE-7	Digi-Key	74AUP1G14SE-7DICT-ND	SM_SOT-353	
U_74HC08	U_74HC08		74HC08	Standard	Standard	TSSOP-14	14		SM_PW14-M	IC GATE AND 4CH 2-INP 14-TSSOP							Texas Instruments	SN74HC08PWR	Digi-Key	296-8210-1-ND						
U_74HC14	U_74HC14		74HC14	Standard	Standard	TSSOP-14	14		SM_PW14-M	IC HEX SCHMITT-TRIG INV 14-TSSOP							Texas Instruments	SN74HC14PWR	Digi-Key	296-8234-1-ND						
U_74HC74	U_74HC74		74HC74	Standard	Standard	TSSOP-14	14		SM_PW14-M	IC D-TYPE POS TRG DUAL 14TSSOP							Texas Instruments	SN74HC74PWR	Digi-Key	296-8372-1-ND						
U_74LVC00ABQ	U_74LVC00ABQ		74LVC00ABQ	Standard	Standard	DHVQFN14	14		SM_DHVQFN14	IC GATE NAND 4CH 2-INP 14DHVQFN							Nexperia USA Inc.	"74LVC00ABQ,115"	Digi-Key	1727-6947-1-ND						
U_74LVC2G00_8VSSOP	U_74LVC2G00		74LVC2G00	Standard	Standard	US8	8		SM_VSSOP-8_(2x3mm)	IC GATE NAND 2CH 2-INP 8VSSOP							Nexperia USA Inc.	"74LVC2G00DC,125"	Digi-Key	1727-5984-1-ND	Texas Instruments	SN74LVC2G00DCUR	Digi-Key	296-13258-1-ND		
U_74LVC2G04_SOT-363	U_74LVC2G04		74LVC2G04	Standard	Standard	SOT-363	6		SM_SC70-6	IC INVERTER 2CH 2-INP SOT-363							Nexperia USA Inc.	"74LVC2G04GW,125"	Digi-Key	1727-4032-1-ND	Diodes Incorporated	74LVC2G04DW-7	Digi-Key	74LVC2G04DW-7DICT-ND	SM_SC70-6_M	
U_78L05A-SOIC	U_LM2931		78L05A	Standard	Standard	8-SOIC	8		SM_SOIC-8-4mm-N	IC Linear Reg 5.0V			5.0V	5.0V	100mA		Texas Instruments	UA78L05ACDR	Digi-Key	296-1364-1-ND	On	MC78L05ACDR2G	Digi-Key	MC78L05ACDR2GOSCT-ND		
U_79L12A-SOIC	U_79Lxx_SOIC8		MC79L12A	Standard	Standard	8-SOIC	8		SM_SOIC-8-4mm-N	IC REG LINEAR -12V 100MA 8SOIC			-12V	-12V	100mA		ON	MC79L12ACDR2G	Digi-Key	MC79L12ACDR2GOSCT-ND	Texas Instruments	MC79L12ACDR	Digi-Key	296-31679-1-ND		
U_8230C_TSSOP	Neotec 8230C		Neotec 8230C	Standard	Standard	8-TSSOP	8		TSSOP-ST8_N	EEPROM							Neotec	TF2929PQ(8230C)							Flex_TSOP65P640-8AM	
U_AP7381-33SA-7_SOT23	U_VREG_3pin_1in2out3gnd		AP7381-33SA-7	Standard	Standard	SOT-23	3		SM_SOT23_123	IC VREG 3.3V				3.3V	100mA		Diodes	AP7381-33SA-7	Mouser	621-AP7381-33SA-7						
U_AP7383-33W5-7_SOT23-5_EN	U_AP7383_SOT23-5_EN		AP7383-33W5-7	Standard	Standard	SOT-23-5	5		SM_SOT-23-5	IC VREG 3.3V w EN				3.3V	100mA		Diodes	AP7383-33W5-7	Digi-Key	AP7383-33W5-7-ND						
